Name,Oui,Oui pc,Non,Non pc,Valid,Valid pc,Rejected,Rejected_pc,V,V pc,N,Oui majority,Non majority
Abitibi-Est,16 447,"57,86",11 980,"42,14",28 427,"98,21",519,"1,79",28 946,"90,72",31 906,4 467,
Abitibi-Ouest,17 968,"61,83",11 093,"38,17",29 061,"98,63",405,"1,37",29 466,"90,12",32 698,6 875,
Acadie,8 849,"21,22",32 849,"78,78",41 698,"98,24",748,"1,76",42 446,"94,56",44 886,,24 000
Anjou,15 415,"49,51",15 722,"50,49",31 137,"98,35",522,"1,65",31 659,"94,86",33 374,,307
Argenteuil,21 304,"49,69",21 571,"50,31",42 875,"98,88",486,"1,12",43 361,"93,60",46 327,,267
Arthabaska,22 235,"56,35",17 225,"43,65",39 460,"98,23",710,"1,77",40 170,"92,91",43 237,5 010,
Beauce-Nord,12 733,"44,63",15 794,"55,37",28 527,"98,44",453,"1,56",28 980,"91,96",31 514,,3 061
Beauce-Sud,15 365,"42,46",20 823,"57,54",36 188,"98,29",629,"1,71",36 817,"91,10",40 413,,5 458
Beauharnois-Huntingdon,16 821,"46,28",19 527,"53,72",36 348,"98,42",584,"1,58",36 932,"93,61",39 452,,2 706
Bellechasse,12 425,"47,15",13 927,"52,85",26 352,"98,56",384,"1,44",26 736,"90,78",29 451,,1 502
Berthier,25 986,"63,02",15 249,"36,98",41 235,"98,29",718,"1,71",41 953,"92,54",45 336,10 737,
Bertrand,19 867,"53,77",17 080,"46,23",36 947,"98,77",461,"1,23",37 408,"92,90",40 267,2 787,
Blainville,23 134,"63,01",13 583,"36,99",36 717,"98,44",581,"1,56",37 298,"95,33",39 126,9 551,
Bonaventure,12 914,"48,42",13 759,"51,58",26 673,"98,51",404,"1,49",27 077,"91,80",29 496,,845
Borduas,18 864,"58,34",13 470,"41,66",32 334,"98,24",579,"1,76",32 913,"95,59",34 433,5 394,
Bourassa,13 063,"43,33",17 084,"56,67",30 147,"97,92",639,"2,08",30 786,"93,99",32 755,,4 021
Bourget,17 258,"53,74",14 857,"46,26",32 115,"97,69",759,"2,31",32 874,"94,27",34 872,2 401,
