Name,Oui,Oui pc,Non,Non pc,Valid,Valid pc,Rejected,Rejected_pc,V,V pc,N,Oui majority,Non majority
Abitibi-Est,8 090,"35,72",14 559,"64,28",22 649,"97,60",557,"2,40",23 206,"75,62",30 689,,6 469
Abitibi-Ouest,7 553,"31,58",16 362,"68,42",23 915,"98,03",481,"1,97",24 396,"76,41",31 927,,8 809
Acadie,24 192,"70,69",10 032,"29,31",34 224,"98,11",660,"1,89",34 884,"85,82",40 647,14 160,
Anjou,11 993,"43,35",15 672,"56,65",27 665,"98,33",471,"1,67",28 136,"86,79",32 418,,3 679
Argenteuil,14 983,"43,78",19 238,"56,22",34 221,"98,27",603,"1,73",34 824,"82,65",42 136,,4 255
Arthabaska,11 833,"35,38",21 608,"64,62",33 441,"97,88",726,"2,12",34 167,"82,49",41 419,,9 775
Beauce-Nord,10 284,"43,09",13 583,"56,91",23 867,"98,11",459,"1,89",24 326,"80,29",30 299,,3 299
Beauce-Sud,13 512,"47,16",15 138,"52,84",28 650,"97,23",817,"2,77",29 467,"77,05",38 242,,1 626
Beauharnois-Huntingdon,12 789,"45,22",15 492,"54,78",28 281,"98,36",472,"1,64",28 753,"82,97",34 653,,2 703
Bellechasse,9 451,"42,64",12 712,"57,36",22 163,"97,75",511,"2,25",22 674,"77,19",29 376,,3 261
Berthier,10 929,"32,50",22 700,"67,50",33 629,"97,22",960,"2,78",34 589,"82,63",41 861,,11 771
Bertrand,14 789,"31,90",31 578,"68,10",46 367,"96,96",1 455,"3,04",47 822,"88,11",54 277,,16 789
Bonaventure,10 939,"51,67",10 232,"48,33",21 171,"97,72",495,"2,28",21 666,"78,53",27 590,707,
Bourassa,13 334,"50,01",13 330,"49,99",26 664,"96,75",896,"3,25",27 560,"83,62",32 959,4,
Bourget,11 430,"39,75",17 328,"60,25",28 758,"97,21",824,"2,79",29 582,"84,22",35 123,,5 898
Brome-Missisquoi,16 271,"55,85",12 861,"44,15",29 132,"98,04",583,"1,96",29 715,"83,87",35 428,3 410,
Chambly,15 214,"39,02",23 779,"60,98",38 993,"97,61",953,"2,39",39 946,"88,42",45 179,,8 565
