"","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"US",1035765,834261,59266,201504,142238,25409,19692,5717,2469,3248,0.0304568953840585,0.294118230903605,0.805453939841566
"UK",161145,139123,21678,22022,344,3996,3410,586,586,0,0.0287227848738167,0.98437925710653,0.863340469763257
"IT",201505,105205,27359,96300,68941,2091,-608,2699,382,2317,0.0198754812033649,0.284101765316719,0.522096225900102
"FR",165911,95365,23660,70546,46886,69,-1671,1740,367,1373,0.000723535888428669,0.33538400476285,0.574796125633623
"ES",232128,84403,23822,147725,123903,2706,-666,3372,301,3071,0.0320604717841783,0.161259096293789,0.363605424593328
"DE",159912,38809,6314,121103,114789,1154,657,497,188,309,0.0297353706614445,0.0521374367274139,0.242689729351143
"NL",38416,33600,4566,4816,250,171,123,48,48,0,0.00508928571428571,0.948089700996678,0.87463556851312
"SE",19877,16261,2355,3616,1261,951,614,337,81,256,0.0584834881003628,0.651272123893805,0.818081199376163
"KR",10752,1654,244,9098,8854,14,-77,91,1,90,0.00846432889963724,0.026819081116729,0.153831845238095
"CN",82836,648,4633,82188,77555,6,-75,81,0,81,0.00925925925925926,0.0563707597216139,0.00782268578878748
